,Kod_Par,Nama_Par,Kod_Dun,Nama_Dun,Kod_Ng,Ng,Luas_Kawasan,Jumlah_Penduduk,Kepadatan_Penduduk
326,P.114,Kepong,P.114,Kepong,14,W.P. Kuala Lumpur,12,"106,199","8,850"
327,P.115,Batu,P.115,Batu,14,W.P. Kuala Lumpur,20,"219,132","10,957"
328,P.116,Wangsa Maju,P.116,Wangsa Maju,14,W.P. Kuala Lumpur,16,"215,600","13,475"
329,P.117,Segambut,P.117,Segambut,14,W.P. Kuala Lumpur,51,"253,715","4,975"
330,P.118,Setiawangsa,P.118,Setiawangsa,14,W.P. Kuala Lumpur,16,"147,095","9,193"
331,P.119,Titiwangsa,P.119,Titiwangsa,14,W.P. Kuala Lumpur,15,"122,096","8,140"
332,P.120,Bukit Bintang,P.120,Bukit Bintang,14,W.P. Kuala Lumpur,21,"120,529","5,739"
333,P.121,Lembah Pantai,P.121,Lembah Pantai,14,W.P. Kuala Lumpur,20,"148,094","7,405"
334,P.122,Seputeh,P.122,Seputeh,14,W.P. Kuala Lumpur,31,"322,511","10,404"
335,P.123,Cheras,P.123,Cheras,14,W.P. Kuala Lumpur,16,"135,823","8,489"
336,P.124,Bandar Tun Razak,P.124,Bandar Tun Razak,14,W.P. Kuala Lumpur,25,"191,318","7,653"
337,P.XXX,Bandura,P.1XX,Namdu,14,W.P. Kuala Lumpur,32,"291,318","9,653"
